net.minecraft.GameVersion,net.minecraft.util.MinecraftVersion
net.minecraft.block.BlockEndPortal,net.minecraft.block.EndPortalBlock
net.minecraft.block.BlockEndPortalFrame,net.minecraft.block.EndPortalFrameBlock
net.minecraft.block.BlockEndRod,net.minecraft.block.EndRodBlock
net.minecraft.block.BlockEnderChest,net.minecraft.block.EnderChestBlock
net.minecraft.block.BlockFalling,net.minecraft.block.FallingBlock
net.minecraft.block.BlockFarmland,net.minecraft.block.FarmlandBlock
net.minecraft.block.BlockFence,net.minecraft.block.FenceBlock
net.minecraft.block.BlockFenceGate,net.minecraft.block.FenceGateBlock
net.minecraft.block.BlockFire,net.minecraft.block.FireBlock
net.minecraft.block.BlockFletchingTable,net.minecraft.block.FletchingTableBlock
net.minecraft.block.BlockFlower,net.minecraft.block.FlowerBlock
net.minecraft.block.BlockFlowerPot,net.minecraft.block.FlowerPotBlock
net.minecraft.block.BlockFlowingFluid,net.minecraft.block.FlowingFluidBlock
net.minecraft.block.BlockFourWay,net.minecraft.block.FourWayBlock
net.minecraft.block.BlockFrostedIce,net.minecraft.block.FrostedIceBlock
net.minecraft.block.BlockFurnace,net.minecraft.block.FurnaceBlock
net.minecraft.block.BlockGlass,net.minecraft.block.GlassBlock
net.minecraft.block.BlockGlazedTerracotta,net.minecraft.block.GlazedTerracottaBlock
net.minecraft.block.BlockGrass,net.minecraft.block.GrassBlock
net.minecraft.block.BlockGrassPath,net.minecraft.block.GrassPathBlock
net.minecraft.block.BlockGravel,net.minecraft.block.GravelBlock
net.minecraft.block.BlockGrindstone,net.minecraft.block.GrindstoneBlock
net.minecraft.block.BlockHay,net.minecraft.block.HayBlock
net.minecraft.block.BlockHopper,net.minecraft.block.HopperBlock
net.minecraft.block.BlockHorizontal,net.minecraft.block.HorizontalBlock
net.minecraft.block.BlockHorizontalFace,net.minecraft.block.HorizontalFaceBlock
net.minecraft.block.BlockHugeMushroom,net.minecraft.block.HugeMushroomBlock
net.minecraft.block.BlockIce,net.minecraft.block.IceBlock
net.minecraft.block.BlockJigsaw,net.minecraft.block.JigsawBlock
net.minecraft.block.BlockJukebox,net.minecraft.block.JukeboxBlock
net.minecraft.block.BlockKelp,net.minecraft.block.KelpBlock
net.minecraft.block.BlockKelpTop,net.minecraft.block.KelpTopBlock
net.minecraft.block.BlockLadder,net.minecraft.block.LadderBlock
net.minecraft.block.BlockLantern,net.minecraft.block.LanternBlock
net.minecraft.block.BlockLeaves,net.minecraft.block.LeavesBlock
net.minecraft.block.BlockLectern,net.minecraft.block.LecternBlock
net.minecraft.block.BlockLever,net.minecraft.block.LeverBlock
net.minecraft.block.BlockLilyPad,net.minecraft.block.LilyPadBlock
net.minecraft.block.BlockLog,net.minecraft.block.LogBlock
net.minecraft.block.BlockLoom,net.minecraft.block.LoomBlock
net.minecraft.block.BlockMagma,net.minecraft.block.MagmaBlock
net.minecraft.block.BlockMelon,net.minecraft.block.MelonBlock
net.minecraft.block.BlockMobSpawner,net.minecraft.block.SpawnerBlock
net.minecraft.block.BlockMushroom,net.minecraft.block.MushroomBlock
net.minecraft.block.BlockMycelium,net.minecraft.block.MyceliumBlock
net.minecraft.block.BlockNetherWart,net.minecraft.block.NetherWartBlock
net.minecraft.block.BlockNote,net.minecraft.block.NoteBlock
net.minecraft.block.BlockObserver,net.minecraft.block.ObserverBlock
net.minecraft.block.BlockOre,net.minecraft.block.OreBlock
net.minecraft.block.BlockPane,net.minecraft.block.PaneBlock
net.minecraft.block.BlockPistonBase,net.minecraft.block.PistonBlock
net.minecraft.block.BlockPistonExtension,net.minecraft.block.PistonHeadBlock
net.minecraft.block.BlockPistonMoving,net.minecraft.block.MovingPistonBlock
net.minecraft.block.BlockPortal,net.minecraft.block.NetherPortalBlock
net.minecraft.block.BlockPortal.Size,net.minecraft.block.NetherPortalBlock.Size
net.minecraft.block.BlockPotato,net.minecraft.block.PotatoBlock
net.minecraft.block.BlockPressurePlate,net.minecraft.block.PressurePlateBlock
net.minecraft.block.BlockPressurePlate.Sensitivity,net.minecraft.block.PressurePlateBlock.Sensitivity
net.minecraft.block.BlockPressurePlateWeighted,net.minecraft.block.WeightedPressurePlateBlock
net.minecraft.block.BlockPumpkin,net.minecraft.block.PumpkinBlock
net.minecraft.block.BlockRail,net.minecraft.block.RailBlock
net.minecraft.block.BlockRailBase,net.minecraft.block.AbstractRailBlock
net.minecraft.block.BlockRailDetector,net.minecraft.block.DetectorRailBlock
net.minecraft.block.BlockRailPowered,net.minecraft.block.PoweredRailBlock
net.minecraft.block.BlockRailState,net.minecraft.block.RailState
net.minecraft.block.BlockRedstone,net.minecraft.block.RedstoneBlock
net.minecraft.block.BlockRedstoneComparator,net.minecraft.block.ComparatorBlock
net.minecraft.block.BlockRedstoneDiode,net.minecraft.block.RedstoneDiodeBlock
net.minecraft.block.BlockRedstoneLamp,net.minecraft.block.RedstoneLampBlock
net.minecraft.block.BlockRedstoneOre,net.minecraft.block.RedstoneOreBlock
net.minecraft.block.BlockRedstoneRepeater,net.minecraft.block.RepeaterBlock
net.minecraft.block.BlockRedstoneTorch,net.minecraft.block.RedstoneTorchBlock
net.minecraft.block.BlockRedstoneTorch.Toggle,net.minecraft.block.RedstoneTorchBlock.Toggle
net.minecraft.block.BlockRedstoneTorchWall,net.minecraft.block.RedstoneWallTorchBlock
net.minecraft.block.BlockRedstoneWire,net.minecraft.block.RedstoneWireBlock
net.minecraft.block.BlockReed,net.minecraft.block.SugarCaneBlock
net.minecraft.block.BlockRotatedPillar,net.minecraft.block.RotatedPillarBlock
net.minecraft.block.BlockSand,net.minecraft.block.SandBlock
net.minecraft.block.BlockSapling,net.minecraft.block.SaplingBlock
net.minecraft.block.BlockScaffolding,net.minecraft.block.ScaffoldingBlock
net.minecraft.block.BlockSeaGrass,net.minecraft.block.SeaGrassBlock
net.minecraft.block.BlockSeaGrassTall,net.minecraft.block.TallSeaGrassBlock
net.minecraft.block.BlockSeaPickle,net.minecraft.block.SeaPickleBlock
net.minecraft.block.BlockShearableDoublePlant,net.minecraft.block.ShearableDoublePlantBlock
net.minecraft.block.BlockShulkerBox,net.minecraft.block.ShulkerBoxBlock
net.minecraft.block.BlockSign,net.minecraft.block.AbstractSignBlock
net.minecraft.block.BlockSilverfish,net.minecraft.block.SilverfishBlock
net.minecraft.block.BlockSixWay,net.minecraft.block.SixWayBlock
net.minecraft.block.BlockSkull,net.minecraft.block.SkullBlock
net.minecraft.block.BlockSkull.ISkullType,net.minecraft.block.SkullBlock.ISkullType
net.minecraft.block.BlockSkull.Types,net.minecraft.block.SkullBlock.Types
net.minecraft.block.BlockSkullPlayer,net.minecraft.block.SkullPlayerBlock
net.minecraft.block.BlockSkullWall,net.minecraft.block.WallSkullBlock
net.minecraft.block.BlockSkullWallPlayer,net.minecraft.block.SkullWallPlayerBlock
net.minecraft.block.BlockSkullWither,net.minecraft.block.WitherSkeletonSkullBlock
net.minecraft.block.BlockSkullWitherWall,net.minecraft.block.WitherSkeletonWallSkullBlock
net.minecraft.block.BlockSlab,net.minecraft.block.SlabBlock
net.minecraft.block.BlockSlime,net.minecraft.block.SlimeBlock
net.minecraft.block.BlockSmithingTable,net.minecraft.block.SmithingTableBlock
net.minecraft.block.BlockSmoker,net.minecraft.block.SmokerBlock
net.minecraft.block.BlockSnowLayer,net.minecraft.block.SnowBlock
net.minecraft.block.BlockSoulSand,net.minecraft.block.SoulSandBlock
net.minecraft.block.BlockSponge,net.minecraft.block.SpongeBlock
net.minecraft.block.BlockStainedGlass,net.minecraft.block.StainedGlassBlock
net.minecraft.block.BlockStainedGlassPane,net.minecraft.block.StainedGlassPaneBlock
net.minecraft.block.BlockStairs,net.minecraft.block.StairsBlock
net.minecraft.block.BlockStandingSign,net.minecraft.block.StandingSignBlock
net.minecraft.block.BlockStem,net.minecraft.block.StemBlock
net.minecraft.block.BlockStemGrown,net.minecraft.block.StemGrownBlock
net.minecraft.block.BlockStonecutter,net.minecraft.block.StonecutterBlock
net.minecraft.block.BlockStructure,net.minecraft.block.StructureBlock
net.minecraft.block.BlockStructureVoid,net.minecraft.block.StructureVoidBlock
net.minecraft.block.BlockSweetBerryBush,net.minecraft.block.SweetBerryBushBlock
net.minecraft.block.BlockTNT,net.minecraft.block.TNTBlock
net.minecraft.block.BlockTallFlower,net.minecraft.block.TallFlowerBlock
net.minecraft.block.BlockTallGrass,net.minecraft.block.TallGrassBlock
net.minecraft.block.BlockTorch,net.minecraft.block.TorchBlock
net.minecraft.block.BlockTorchWall,net.minecraft.block.WallTorchBlock
net.minecraft.block.BlockTrapDoor,net.minecraft.block.TrapDoorBlock
net.minecraft.block.BlockTrappedChest,net.minecraft.block.TrappedChestBlock
net.minecraft.block.BlockTripWire,net.minecraft.block.TripWireBlock
net.minecraft.block.BlockTripWireHook,net.minecraft.block.TripWireHookBlock
net.minecraft.block.BlockTurtleEgg,net.minecraft.block.TurtleEggBlock
net.minecraft.block.BlockVine,net.minecraft.block.VineBlock
net.minecraft.block.BlockWall,net.minecraft.block.WallBlock
net.minecraft.block.BlockWallSign,net.minecraft.block.WallSignBlock
net.minecraft.block.BlockWeb,net.minecraft.block.WebBlock
net.minecraft.block.BlockWetSponge,net.minecraft.block.WetSpongeBlock
net.minecraft.block.BlockWitherRose,net.minecraft.block.WitherRoseBlock
net.minecraft.block.BlockWorkbench,net.minecraft.block.CraftingTableBlock
net.minecraft.block.material.EnumPushReaction,net.minecraft.block.material.PushReaction
net.minecraft.block.state.BlockPistonStructureHelper,net.minecraft.block.state.PistonBlockStructureHelper
net.minecraft.block.state.BlockWorldState,net.minecraft.util.CachedBlockInfo
net.minecraft.block.state.IBlockState,net.minecraft.block.BlockState
net.minecraft.block.state.IBlockState.Cache,net.minecraft.block.BlockState.Cache
net.minecraft.block.state.pattern.BlockMatcher,net.minecraft.block.pattern.BlockMatcher
net.minecraft.block.state.pattern.BlockMaterialMatcher,net.minecraft.block.pattern.BlockMaterialMatcher
net.minecraft.block.state.pattern.BlockPattern,net.minecraft.block.pattern.BlockPattern
net.minecraft.block.state.pattern.BlockPattern.CacheLoader,net.minecraft.block.pattern.BlockPattern.CacheLoader
net.minecraft.block.state.pattern.BlockPattern.PatternHelper,net.minecraft.block.pattern.BlockPattern.PatternHelper
net.minecraft.block.state.pattern.BlockPattern.PortalInfo,net.minecraft.block.pattern.BlockPattern.PortalInfo
net.minecraft.block.state.pattern.BlockStateMatcher,net.minecraft.block.pattern.BlockStateMatcher
net.minecraft.block.state.pattern.FactoryBlockPattern,net.minecraft.block.pattern.BlockPatternBuilder
net.minecraft.block.trees.AbstractBigTree,net.minecraft.block.trees.BigTree
net.minecraft.block.trees.AbstractTree,net.minecraft.block.trees.Tree
net.minecraft.client.audio.AbstractSound,net.minecraft.client.audio.LocatableSound
net.minecraft.client.audio.MovingSound,net.minecraft.client.audio.TickableSound
net.minecraft.client.audio.MovingSoundEntity,net.minecraft.client.audio.EntityTickableSound
net.minecraft.client.audio.MovingSoundMinecart,net.minecraft.client.audio.MinecartTickableSound
net.minecraft.client.audio.MovingSoundMinecartRiding,net.minecraft.client.audio.RidingMinecartTickableSound
net.minecraft.client.audio.SoundManager,net.minecraft.client.audio.SoundEngine
net.minecraft.client.audio.SoundSystem.Handler,net.minecraft.client.audio.SoundSystem.IHandler
net.minecraft.client.entity.AbstractClientPlayer,net.minecraft.client.entity.player.AbstractClientPlayerEntity
net.minecraft.client.entity.EntityOtherPlayerMP,net.minecraft.client.entity.player.RemoteClientPlayerEntity
net.minecraft.client.entity.EntityPlayerSP,net.minecraft.client.entity.player.ClientPlayerEntity
net.minecraft.client.gui.AbstractGuiButton,net.minecraft.client.gui.widget.button.AbstractButton
net.minecraft.client.gui.BossInfoClient,net.minecraft.client.gui.ClientBossInfo
net.minecraft.client.gui.ButtonChangePage,net.minecraft.client.gui.widget.button.ChangePageButton
net.minecraft.client.gui.Gui,net.minecraft.client.gui.AbstractGui
net.minecraft.client.gui.GuiAbstractCrafting,net.minecraft.client.gui.screen.inventory.AbstractFurnaceScreen
net.minecraft.client.gui.GuiAbstractRecipeBook,net.minecraft.client.gui.recipebook.AbstractRecipeBookGui
net.minecraft.client.gui.GuiAbstractSlider,net.minecraft.client.gui.widget.AbstractSlider
net.minecraft.client.gui.GuiAccessibility,net.minecraft.client.gui.AccessibilityScreen
net.minecraft.client.gui.GuiBlastFurnace,net.minecraft.client.gui.screen.inventory.BlastFurnaceScreen
net.minecraft.client.gui.GuiBlastFurnaceRecipeBook,net.minecraft.client.gui.recipebook.BlastFurnaceRecipeGui
net.minecraft.client.gui.GuiBossOverlay,net.minecraft.client.gui.overlay.BossOverlayGui
net.minecraft.client.gui.GuiButton,net.minecraft.client.gui.widget.button.Button
net.minecraft.client.gui.GuiButton.IPressable,net.minecraft.client.gui.widget.button.Button.IPressable
net.minecraft.client.gui.GuiButtonImage,net.minecraft.client.gui.widget.button.ImageButton
net.minecraft.client.gui.GuiButtonToggle,net.minecraft.client.gui.widget.ToggleWidget
net.minecraft.client.gui.GuiCartographyTable,net.minecraft.client.gui.screen.inventory.CartographyTableScreen
net.minecraft.client.gui.GuiChat,net.minecraft.client.gui.screen.ChatScreen
net.minecraft.client.gui.GuiChat.SuggestionsList,net.minecraft.client.gui.screen.ChatScreen.SuggestionsList
net.minecraft.client.gui.GuiCheckbox,net.minecraft.client.gui.widget.button.CheckboxButton
net.minecraft.client.gui.GuiCommandBlock,net.minecraft.client.gui.screen.CommandBlockScreen
net.minecraft.client.gui.GuiCommandBlockBase,net.minecraft.client.gui.screen.AbstractCommandBlockScreen
net.minecraft.client.gui.GuiCommandBlockBase.SuggestionsList,net.minecraft.client.gui.screen.AbstractCommandBlockScreen.SuggestionsList
net.minecraft.client.gui.GuiConfirmBackup,net.minecraft.client.gui.screen.ConfirmBackupScreen
net.minecraft.client.gui.GuiConfirmBackup.ICallback,net.minecraft.client.gui.screen.ConfirmBackupScreen.ICallback
net.minecraft.client.gui.GuiConfirmOpenLink,net.minecraft.client.gui.screen.ConfirmOpenLinkScreen
net.minecraft.client.gui.GuiConnecting,net.minecraft.client.gui.screen.ConnectingScreen
net.minecraft.client.gui.GuiControls,net.minecraft.client.gui.screen.ControlsScreen
net.minecraft.client.gui.GuiCreateBuffetWorld,net.minecraft.client.gui.screen.CreateBuffetWorldScreen
net.minecraft.client.gui.GuiCreateBuffetWorld.BiomeList,net.minecraft.client.gui.screen.CreateBuffetWorldScreen.BiomeList
net.minecraft.client.gui.GuiCreateBuffetWorld.BiomeList.BiomeEntry,net.minecraft.client.gui.screen.CreateBuffetWorldScreen.BiomeList.BiomeEntry
net.minecraft.client.gui.GuiCreateFlatWorld,net.minecraft.client.gui.screen.CreateFlatWorldScreen
net.minecraft.client.gui.GuiCreateFlatWorld.Details,net.minecraft.client.gui.screen.CreateFlatWorldScreen.DetailsList
net.minecraft.client.gui.GuiCreateFlatWorld.Details.LayerEntry,net.minecraft.client.gui.screen.CreateFlatWorldScreen.DetailsList.LayerEntry
net.minecraft.client.gui.GuiCreateWorld,net.minecraft.client.gui.screen.CreateWorldScreen
net.minecraft.client.gui.GuiCustomizeSkin,net.minecraft.client.gui.screen.CustomizeSkinScreen
net.minecraft.client.gui.GuiDirtMessageScreen,net.minecraft.client.gui.screen.DirtMessageScreen
net.minecraft.client.gui.GuiDisconnected,net.minecraft.client.gui.screen.DisconnectedScreen
net.minecraft.client.gui.GuiDownloadTerrain,net.minecraft.client.gui.screen.DownloadTerrainScreen
net.minecraft.client.gui.GuiEditBook,net.minecraft.client.gui.screen.EditBookScreen
net.minecraft.client.gui.GuiEditBook.Point,net.minecraft.client.gui.screen.EditBookScreen.Point
net.minecraft.client.gui.GuiEditCommandBlockMinecart,net.minecraft.client.gui.screen.EditMinecartCommandBlockScreen
net.minecraft.client.gui.GuiElement,net.minecraft.client.gui.widget.Widget
net.minecraft.client.gui.GuiEnchantment,net.minecraft.client.gui.screen.EnchantmentScreen
net.minecraft.client.gui.GuiErrorScreen,net.minecraft.client.gui.screen.ErrorScreen
net.minecraft.client.gui.GuiEventHandler,net.minecraft.client.gui.INestedGuiEventHandler
net.minecraft.client.gui.GuiFlatPresets,net.minecraft.client.gui.screen.FlatPresetsScreen
net.minecraft.client.gui.GuiFlatPresets.LayerItem,net.minecraft.client.gui.screen.FlatPresetsScreen.LayerItem
net.minecraft.client.gui.GuiFlatPresets.ListSlot,net.minecraft.client.gui.screen.FlatPresetsScreen.SlotList
net.minecraft.client.gui.GuiFlatPresets.ListSlot.PresetEntry,net.minecraft.client.gui.screen.FlatPresetsScreen.SlotList.PresetEntry
net.minecraft.client.gui.GuiFocusable,net.minecraft.client.gui.FocusableGui
net.minecraft.client.gui.GuiGameOver,net.minecraft.client.gui.screen.DeathScreen
net.minecraft.client.gui.GuiGrindstone,net.minecraft.client.gui.screen.GrindstoneScreen
net.minecraft.client.gui.GuiHopper,net.minecraft.client.gui.screen.HopperScreen
net.minecraft.client.gui.GuiIngame,net.minecraft.client.gui.IngameGui
net.minecraft.client.gui.GuiIngameMenu,net.minecraft.client.gui.screen.IngameMenuScreen
net.minecraft.client.gui.GuiJigsaw,net.minecraft.client.gui.screen.JigsawScreen
net.minecraft.client.gui.GuiKeyBindingList,net.minecraft.client.gui.widget.list.KeyBindingList
net.minecraft.client.gui.GuiKeyBindingList.CategoryEntry,net.minecraft.client.gui.widget.list.KeyBindingList.CategoryEntry
net.minecraft.client.gui.GuiKeyBindingList.Entry,net.minecraft.client.gui.widget.list.KeyBindingList.Entry
net.minecraft.client.gui.GuiKeyBindingList.KeyEntry,net.minecraft.client.gui.widget.list.KeyBindingList.KeyEntry
net.minecraft.client.gui.GuiLanguage,net.minecraft.client.gui.screen.LanguageScreen
net.minecraft.client.gui.GuiLanguage.List,net.minecraft.client.gui.screen.LanguageScreen.List
net.minecraft.client.gui.GuiLanguage.List.LanguageEntry,net.minecraft.client.gui.screen.LanguageScreen.List.LanguageEntry
net.minecraft.client.gui.GuiLectern,net.minecraft.client.gui.screen.LecternScreen
net.minecraft.client.gui.GuiList,net.minecraft.client.gui.widget.list.AbstractList
net.minecraft.client.gui.GuiList.AbstractListEntry,net.minecraft.client.gui.widget.list.AbstractList.AbstractListEntry
net.minecraft.client.gui.GuiList.SimpleArrayList,net.minecraft.client.gui.widget.list.AbstractList.SimpleArrayList
net.minecraft.client.gui.GuiListExtended,net.minecraft.client.gui.widget.list.ExtendedList
net.minecraft.client.gui.GuiListExtended.IGuiListEntry,net.minecraft.client.gui.widget.list.ExtendedList.AbstractListEntry
net.minecraft.client.gui.GuiListWorldSelection,net.minecraft.client.gui.screen.WorldSelectionList
net.minecraft.client.gui.GuiListWorldSelection.WorldEntry,net.minecraft.client.gui.screen.WorldSelectionList.Entry
net.minecraft.client.gui.GuiLoading,net.minecraft.client.gui.LoadingGui
net.minecraft.client.gui.GuiLockIconButton,net.minecraft.client.gui.widget.button.LockIconButton
net.minecraft.client.gui.GuiLockIconButton.Icon,net.minecraft.client.gui.widget.button.LockIconButton.Icon
net.minecraft.client.gui.GuiLoom,net.minecraft.client.gui.screen.LoomScreen
net.minecraft.client.gui.GuiMainMenu,net.minecraft.client.gui.screen.MainMenuScreen
net.minecraft.client.gui.GuiMemoryErrorScreen,net.minecraft.client.gui.screen.MemoryErrorScreen
net.minecraft.client.gui.GuiMerchant,net.minecraft.client.gui.screen.inventory.MerchantScreen
net.minecraft.client.gui.GuiMerchant.TradeButton,net.minecraft.client.gui.screen.inventory.MerchantScreen.TradeButton
net.minecraft.client.gui.GuiMouseSettings,net.minecraft.client.gui.screen.MouseSettingsScreen
net.minecraft.client.gui.GuiMultiplayer,net.minecraft.client.gui.screen.MultiplayerScreen
net.minecraft.client.gui.GuiNewChat,net.minecraft.client.gui.NewChatGui
net.minecraft.client.gui.GuiOptimizeWorld,net.minecraft.client.gui.screen.OptimizeWorldScreen
net.minecraft.client.gui.GuiOptionButton,net.minecraft.client.gui.widget.button.OptionButton
net.minecraft.client.gui.GuiOptionEntry,net.minecraft.client.gui.widget.list.AbstractOptionList.Entry
net.minecraft.client.gui.GuiOptionList,net.minecraft.client.gui.widget.list.AbstractOptionList
net.minecraft.client.gui.GuiOptionSlider,net.minecraft.client.gui.widget.OptionSlider
net.minecraft.client.gui.GuiOptions,net.minecraft.client.gui.screen.OptionsScreen
net.minecraft.client.gui.GuiOptionsRowList,net.minecraft.client.gui.widget.list.OptionsRowList
net.minecraft.client.gui.GuiOptionsRowList.Row,net.minecraft.client.gui.widget.list.OptionsRowList.Row
net.minecraft.client.gui.GuiOverlayDebug,net.minecraft.client.gui.overlay.DebugOverlayGui
net.minecraft.client.gui.GuiPlayerTabOverlay,net.minecraft.client.gui.overlay.PlayerTabOverlayGui
net.minecraft.client.gui.GuiPlayerTabOverlay.PlayerComparator,net.minecraft.client.gui.overlay.PlayerTabOverlayGui.PlayerComparator
net.minecraft.client.gui.GuiReadBook,net.minecraft.client.gui.screen.ReadBookScreen
net.minecraft.client.gui.GuiReadBook.IBookInfo,net.minecraft.client.gui.screen.ReadBookScreen.IBookInfo
net.minecraft.client.gui.GuiReadBook.UnwrittenBookInfo,net.minecraft.client.gui.screen.ReadBookScreen.UnwrittenBookInfo
net.minecraft.client.gui.GuiReadBook.WrittenBookInfo,net.minecraft.client.gui.screen.ReadBookScreen.WrittenBookInfo
net.minecraft.client.gui.GuiRepair,net.minecraft.client.gui.screen.inventory.AnvilScreen
net.minecraft.client.gui.GuiResourceLoadProgress,net.minecraft.client.gui.ResourceLoadProgressGui
net.minecraft.client.gui.GuiResourceLoadProgress.MojangLogo,net.minecraft.client.gui.ResourceLoadProgressGui.MojangLogoTexture
net.minecraft.client.gui.GuiResourcePackAvailable,net.minecraft.client.gui.widget.list.AvailableResourcePackList
net.minecraft.client.gui.GuiResourcePackList,net.minecraft.client.gui.widget.list.AbstractResourcePackList
net.minecraft.client.gui.GuiResourcePackList.ResourcePackEntry,net.minecraft.client.gui.widget.list.AbstractResourcePackList.ResourcePackEntry
net.minecraft.client.gui.GuiResourcePackSelected,net.minecraft.client.gui.widget.list.SelectedResourcePackList
net.minecraft.client.gui.GuiScreen,net.minecraft.client.gui.screen.Screen
